Cell	term	estimate	std.error	statistic	p.value
WT	KM_ERK1	0.7930688560440792	0.16336021296895456	4.854724670289186	3.798303840757717e-5
WT	KM_BioAkt	6.032502254687672	2.1772362515657417	2.7707155116260105	0.00965991924188203
PI3K	KM_ERK1	0.9768651359020766	0.22767411136552643	4.290628961031667	1.8080942116895145e-4
PI3K	KM_BioAkt	4.53293028600533	1.9770194586386034	2.2928101522717204	0.029301231815696854
