,EGFR,MEK1,ERK1,GSK3,CREB1,BioAkt,PRAS40,P70S6K,RS6
EGFR,-1.0,-0.0,-0.08458228550695769,0.9425707988502813,-0.0,-0.0,-0.0,-0.0,-0.0
MEK1,1.017873506335674,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ERK1,-0.0,1.1182258947520962,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
GSK3,-0.0,-0.0,0.48928692288052467,-1.0,-0.0,0.05622145680803347,-0.0,-0.0,-0.0
CREB1,-0.0,-0.0,0.3269922324611523,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0
BioAkt,0.502891678904116,-0.0,-0.0,0.11496039245018146,-0.0,-1.0,2.2421749232459414,-0.0,-1.281391231231771
PRAS40,-0.0,-0.0,-0.0,-0.0,-0.0,0.11768393556543874,-1.0,-0.0,0.616463356154612
P70S6K,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6580289730626113,-1.0,-0.0
RS6,-0.0,-0.0,0.0319264651501725,-0.0,-0.0,-0.0,-0.0,0.7100120656129135,-1.0
