,var,cl,pert_name,target,inhibitor,concentration,value,IC90,normalized_concentration,imax,ki
32,rp_pi3k_PI3Ki1uM_BioAkt,pi3k,PI3Ki1uM,BioAkt,PI3Ki,1.0,-0.9612115709021405,2.0,0.5,-22.572591100863203,11.24173916751655
33,rp_pi3k_PI3Ki2uM_BioAkt,pi3k,PI3Ki2uM,BioAkt,PI3Ki,2.0,-1.8439039414282727,2.0,1.0,-22.572591100863203,11.24173916751655
34,rp_wt_PI3Ki1uM_BioAkt,wt,PI3Ki1uM,BioAkt,PI3Ki,1.0,-3.6872664020173036,2.0,0.5,-23.22924742860145,2.649928008363276
35,rp_wt_PI3Ki2uM_BioAkt,wt,PI3Ki2uM,BioAkt,PI3Ki,2.0,-6.364302905579903,2.0,1.0,-23.22924742860145,2.649928008363276
36,rp_pi3k_RAFi1uM_MEK1,pi3k,RAFi1uM,MEK1,RAFi,1.0,-0.699828728255909,1.0,1.0,-41.58224911900385,58.417750880996145
37,rp_wt_RAFi1uM_MEK1,wt,RAFi1uM,MEK1,RAFi,1.0,-0.699828728255909,1.0,1.0,-41.58224911900385,58.417750880996145
38,rp_pi3k_mTORi001uMmtorc2_BioAkt,pi3k,mTORi001uMmtorc2,BioAkt,mTORi,0.01,0.0,0.3,0.03333333333333333,-99.99999999942685,22.891021126282624
39,rp_pi3k_mTORi03uMmtorc2_BioAkt,pi3k,mTORi03uMmtorc2,BioAkt,mTORi,0.3,-4.190937152005512,0.3,1.0,-99.99999999942685,22.891021126282624
40,rp_wt_mTORi001uMmtorc2_BioAkt,wt,mTORi001uMmtorc2,BioAkt,mTORi,0.01,-0.7884181437936957,0.3,0.03333333333333333,-9.98518677489375,0.38882787868745283
41,rp_wt_mTORi03uMmtorc2_BioAkt,wt,mTORi03uMmtorc2,BioAkt,mTORi,0.3,-7.189650300172909,0.3,1.0,-9.98518677489375,0.38882787868745283
42,rp_pi3k_mTORi001uMmtorc1_P70S6K,pi3k,mTORi001uMmtorc1,P70S6K,mTORi,0.01,-0.44134572508576086,0.3,0.03333333333333333,-1.0277603049646669,0.044289887839784284
43,rp_pi3k_mTORi03uMmtorc1_P70S6K,pi3k,mTORi03uMmtorc1,P70S6K,mTORi,0.3,-0.9841714613273725,0.3,1.0,-1.0277603049646669,0.044289887839784284
44,rp_wt_mTORi001uMmtorc1_P70S6K,wt,mTORi001uMmtorc1,P70S6K,mTORi,0.01,-0.24568925758429372,0.3,0.03333333333333333,-0.4536127883402876,0.02820955391646778
45,rp_wt_mTORi03uMmtorc1_P70S6K,wt,mTORi03uMmtorc1,P70S6K,mTORi,0.3,-0.44116764584853563,0.3,1.0,-0.4536127883402876,0.02820955391646778
