EGFR,-0.453925468968983*EGFRi/(1.0*EGFRi + 0.0796509922253649)
MEK1,-39.32859771672*MEKi/(1.0*MEKi + 99.9999999860987) - 41.5822491190038*RAFi/(1.0*RAFi + 58.4177508809961)
ERK1,-1.38227600289504*ERKi/(1.0*ERKi + 0.039141357289802) - 2.16241231537598*MEKi/(1.0*MEKi + 0.783686738989798)
GSK3,-3.66802219483408*GSK3i/(1.0*GSK3i + 99.9999999999691)
CREB1,0
BioAkt,-10.1408747327125*AKTi/(1.0*AKTi + 0.290413572868903) - 22.5725911008632*PI3Ki/(1.0*PI3Ki + 11.2417391675166) - 99.9999999994268*mTORi/(1.0*mTORi + 22.8910211262826)
PRAS40,0
P70S6K,-1.02776030496467*mTORi/(1.0*mTORi + 0.0442898878397843)
RS6,0
