"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"53(1,E7)","Unknown55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29"
"54(1,F7)","Unknown56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12"
"57(1,A8)","Unknown29","NaN","2221","NaN","NaN","NaN","312","NaN","NaN","NaN","NaN","984","NaN","NaN","553","4261","NaN","NaN","NaN","NaN","176","NaN","5932","NaN","NaN","NaN","2835","NaN","NaN","NaN","NaN","3933","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3893"
"58(1,B8)","Unknown30","NaN","2309","NaN","NaN","NaN","277","NaN","NaN","NaN","NaN","829","NaN","NaN","450","3626","NaN","NaN","NaN","NaN","132","NaN","6682","NaN","NaN","NaN","3208","NaN","NaN","NaN","NaN","3771","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5252"
"59(1,C8)","Unknown31","NaN","906","NaN","NaN","NaN","156","NaN","NaN","NaN","NaN","397","NaN","87","312","1888","NaN","NaN","NaN","121","112","5474","5016","NaN","NaN","NaN","1961","NaN","NaN","NaN","2441","2724","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4425"
"60(1,D8)","Unknown32","NaN","940","NaN","NaN","NaN","127","NaN","NaN","NaN","NaN","339","NaN","81","198","2500","NaN","NaN","NaN","NaN","111","NaN","2514","NaN","NaN","NaN","1885","NaN","NaN","NaN","NaN","2222","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4899"
"65(1,A9)","Unknown33","NaN","1156","NaN","NaN","NaN","244","NaN","NaN","NaN","NaN","840","NaN","NaN","384","2510","NaN","NaN","NaN","NaN","155","NaN","5454","NaN","NaN","NaN","2226","NaN","NaN","NaN","NaN","3466","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4559"
"66(1,B9)","Unknown34","NaN","1304","NaN","NaN","NaN","244","NaN","NaN","NaN","NaN","512","NaN","NaN","417","2604","NaN","NaN","NaN","NaN","138","NaN","5918","NaN","NaN","NaN","2316","NaN","NaN","NaN","NaN","3081","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4710"
"67(1,C9)","Unknown35","NaN","1739","NaN","NaN","NaN","168","NaN","NaN","NaN","NaN","315","NaN","NaN","339","3214","NaN","NaN","NaN","NaN","137","NaN","7541","NaN","NaN","NaN","2511","NaN","NaN","NaN","NaN","4108","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5685"
"68(1,D9)","Unknown36","NaN","1251","NaN","NaN","NaN","156","NaN","NaN","NaN","NaN","770","NaN","NaN","191","2321","NaN","NaN","NaN","NaN","116","NaN","2510","NaN","NaN","NaN","2139","NaN","NaN","NaN","NaN","2514","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6166"
"69(1,E9)","Unknown57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1974","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1531","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","56"
"73(1,A10)","Unknown37","NaN","1538","NaN","NaN","NaN","288","NaN","NaN","NaN","NaN","417","NaN","NaN","470","3770","NaN","NaN","NaN","NaN","143","NaN","6408","NaN","NaN","NaN","2402","NaN","NaN","NaN","NaN","2832","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4027"
"74(1,B10)","Unknown38","NaN","1901","NaN","NaN","NaN","206","NaN","NaN","NaN","NaN","185","NaN","NaN","398","2047","NaN","NaN","NaN","NaN","142","NaN","3919","NaN","NaN","NaN","2310","NaN","NaN","NaN","NaN","2739","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2829"
"75(1,C10)","Unknown39","NaN","800","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","472","NaN","NaN","255","1598","NaN","NaN","NaN","NaN","95","NaN","5679","NaN","NaN","NaN","1258","NaN","NaN","NaN","NaN","2312","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5436"
"76(1,D10)","Unknown40","NaN","1153","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","769","NaN","NaN","277","2217","NaN","NaN","NaN","NaN","112","NaN","4454","NaN","NaN","NaN","2124","NaN","NaN","NaN","NaN","2727","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4907"
"81(1,A11)","Unknown41","NaN","1600","NaN","NaN","NaN","276","NaN","NaN","155","NaN","1105","NaN","NaN","400","3915","NaN","NaN","NaN","NaN","132","NaN","5902","NaN","NaN","NaN","2616","NaN","NaN","NaN","NaN","3625","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5002"
"82(1,B11)","Unknown42","NaN","1730","NaN","NaN","NaN","224","NaN","NaN","NaN","NaN","944","NaN","NaN","354","3488","NaN","NaN","NaN","NaN","132","NaN","5674","NaN","NaN","NaN","2945","NaN","NaN","NaN","NaN","3614","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3565"
"83(1,C11)","Unknown43","NaN","2315","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","1107","NaN","NaN","225","3771","NaN","NaN","NaN","NaN","132","NaN","3625","NaN","NaN","NaN","2841","NaN","NaN","NaN","NaN","3479","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5885"
"84(1,D11)","Unknown44","NaN","1540","NaN","NaN","290","191","NaN","NaN","NaN","NaN","736","NaN","NaN","312","3221","NaN","NaN","NaN","NaN","132","NaN","7873","NaN","NaN","NaN","2316","NaN","NaN","NaN","NaN","2840","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5025"
"85(1,E11)","Unknown58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47"
"86(1,F11)","Unknown59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8"
"89(1,A12)","Unknown45","NaN","2321","NaN","NaN","NaN","351","NaN","NaN","NaN","NaN","938","NaN","NaN","511","5015","NaN","NaN","NaN","NaN","169","NaN","7548","NaN","NaN","NaN","3763","NaN","NaN","NaN","NaN","3939","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4118"
"90(1,B12)","Unknown46","NaN","2222","NaN","NaN","NaN","289","NaN","NaN","NaN","NaN","1024","NaN","NaN","510","4093","NaN","NaN","NaN","NaN","155","NaN","6413","NaN","NaN","NaN","2851","NaN","NaN","NaN","NaN","3925","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3904"
"91(1,C12)","Unknown47","NaN","1885","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","982","NaN","NaN","288","3633","NaN","NaN","NaN","NaN","117","NaN","3783","NaN","NaN","NaN","2619","NaN","NaN","NaN","NaN","3938","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5410"
"92(1,D12)","Unknown48","NaN","1670","NaN","NaN","NaN","300","NaN","NaN","NaN","NaN","555","NaN","NaN","312","3936","NaN","NaN","NaN","NaN","190","NaN","8535","NaN","NaN","NaN","2620","NaN","NaN","NaN","NaN","2837","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4957"
"93(1,E12)","Unknown60","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","31"

"DataType:","Std Dev"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","742.69","NaN","NaN","NaN","282.78","NaN","NaN","NaN","NaN","383.3","NaN","NaN","145.48","1202.26","NaN","NaN","NaN","NaN","70.15","NaN","2302.33","NaN","NaN","NaN","1198.47","NaN","NaN","NaN","NaN","4916.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5687"
"2(1,B1)","Unknown2","NaN","222.34","NaN","NaN","NaN","41.87","NaN","NaN","NaN","NaN","64.28","NaN","NaN","51.29","287.16","NaN","NaN","NaN","NaN","41.98","NaN","421.71","NaN","NaN","NaN","399.33","NaN","NaN","NaN","NaN","395.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8790"
"3(1,C1)","Unknown3","NaN","912.68","NaN","NaN","NaN","365.95","NaN","NaN","NaN","NaN","403.92","NaN","NaN","182.74","1542","NaN","NaN","NaN","NaN","95.31","NaN","1945.1","NaN","NaN","NaN","1483.77","NaN","NaN","NaN","NaN","1110.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3651"
"4(1,D1)","Unknown4","NaN","837.31","NaN","NaN","NaN","388.9","NaN","NaN","NaN","NaN","503.2","NaN","NaN","326.03","1799.42","NaN","NaN","NaN","NaN","76.06","NaN","3646.05","NaN","NaN","NaN","1398.07","NaN","NaN","NaN","NaN","1004.65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6966"
"5(1,E1)","Unknown49","NaN","275","NaN","NaN","NaN","58.04","NaN","NaN","NaN","NaN","29.22","NaN","NaN","38.6","484.84","NaN","NaN","NaN","NaN","50.01","13.93","353.11","NaN","NaN","NaN","262.77","NaN","NaN","NaN","NaN","376.98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8100"
"6(1,F1)","Unknown51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34"
"9(1,A2)","Unknown5","NaN","649.23","NaN","NaN","NaN","211.43","NaN","NaN","NaN","NaN","281.88","NaN","NaN","97.97","904.46","NaN","NaN","NaN","NaN","69.79","NaN","2024.61","NaN","NaN","NaN","906.66","NaN","NaN","NaN","NaN","967.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4889"
"10(1,B2)","Unknown6","NaN","922.73","NaN","NaN","NaN","239.51","NaN","NaN","NaN","NaN","339.73","NaN","NaN","111.92","1174.31","NaN","NaN","NaN","NaN","81.36","NaN","1089.1","NaN","NaN","NaN","1273.75","NaN","NaN","NaN","NaN","1248.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2704"
"11(1,C2)","Unknown7","NaN","812.48","NaN","NaN","NaN","259.94","NaN","NaN","NaN","NaN","393.84","NaN","NaN","130.44","1492.52","NaN","NaN","NaN","NaN","59.82","NaN","2135.87","NaN","NaN","NaN","961.78","NaN","NaN","NaN","NaN","907.67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4439"
"12(1,D2)","Unknown8","NaN","454.12","NaN","NaN","NaN","228.55","NaN","NaN","NaN","NaN","395.38","NaN","NaN","134.62","1607.19","NaN","NaN","NaN","NaN","116.57","NaN","1258.42","NaN","NaN","NaN","582.53","NaN","NaN","NaN","NaN","730.74","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4822"
"13(1,E2)","Unknown50","NaN","211.73","NaN","NaN","NaN","29.57","NaN","NaN","NaN","NaN","99.28","NaN","NaN","52.69","603.38","NaN","NaN","NaN","NaN","50.35","NaN","848.18","NaN","NaN","NaN","483.5","NaN","NaN","NaN","NaN","253.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3770"
"17(1,A3)","Unknown9","NaN","638.1","NaN","NaN","NaN","260.29","NaN","NaN","NaN","NaN","315.15","NaN","NaN","109.96","916.86","NaN","NaN","NaN","NaN","66.88","NaN","2046.45","NaN","NaN","NaN","965.59","NaN","NaN","NaN","NaN","909.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5081"
"18(1,B3)","Unknown10","NaN","820.59","NaN","NaN","NaN","289.49","NaN","NaN","NaN","NaN","320.71","NaN","NaN","103.17","1217.77","NaN","NaN","NaN","NaN","74.87","NaN","1032.89","NaN","NaN","NaN","1068.76","NaN","NaN","NaN","NaN","1676.61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6204"
"19(1,C3)","Unknown11","NaN","830.42","NaN","NaN","NaN","301.81","NaN","NaN","NaN","NaN","339.75","NaN","NaN","107.89","1200.95","NaN","NaN","NaN","NaN","69.37","NaN","1200.21","NaN","NaN","NaN","1295.87","NaN","NaN","NaN","NaN","1098.95","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4516"
"20(1,D3)","Unknown12","NaN","508.25","NaN","NaN","NaN","281.48","NaN","NaN","NaN","NaN","375.54","NaN","NaN","128.84","4367.12","NaN","NaN","NaN","NaN","77.81","NaN","1361.84","NaN","NaN","NaN","696.67","NaN","NaN","NaN","NaN","840.43","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4883"
"21(1,E3)","Unknown52","NaN","NaN","NaN","NaN","NaN","37.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","108.2","1194.57","NaN","NaN","NaN","NaN","32.08","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1646.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93"
"22(1,F3)","Unknown53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","16"
"25(1,A4)","Unknown13","NaN","803.05","NaN","NaN","NaN","272.22","NaN","NaN","NaN","NaN","375.65","NaN","NaN","138.2","949.33","NaN","NaN","NaN","NaN","66.08","NaN","3063.08","NaN","NaN","NaN","902.02","NaN","NaN","NaN","NaN","876.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4890"
"26(1,B4)","Unknown14","NaN","802.31","NaN","NaN","NaN","328.35","NaN","NaN","NaN","NaN","410.44","NaN","NaN","141.72","2370.1","NaN","NaN","NaN","NaN","84.29","NaN","3569.81","NaN","NaN","NaN","5206.46","NaN","NaN","NaN","NaN","1266.98","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3816"
"27(1,C4)","Unknown15","NaN","708.08","NaN","NaN","NaN","327.61","NaN","NaN","NaN","NaN","284.01","NaN","NaN","94.74","1065.57","NaN","NaN","NaN","NaN","59.13","NaN","2215.34","NaN","NaN","NaN","1094.16","NaN","NaN","NaN","NaN","849.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5849"
"28(1,D4)","Unknown16","NaN","430.66","NaN","NaN","NaN","231.87","NaN","NaN","NaN","NaN","187.22","NaN","NaN","153.9","811.6","NaN","NaN","NaN","NaN","62.02","NaN","4469.27","NaN","NaN","NaN","733.27","NaN","NaN","NaN","NaN","887.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4319"
"33(1,A5)","Unknown17","NaN","668.81","NaN","NaN","NaN","387.33","NaN","NaN","NaN","NaN","458.66","NaN","NaN","151.16","1137.75","NaN","NaN","NaN","NaN","77.44","NaN","3391.43","NaN","NaN","NaN","963.73","NaN","NaN","NaN","NaN","2455.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5706"
"34(1,B5)","Unknown18","NaN","813.87","NaN","NaN","NaN","389.13","NaN","NaN","NaN","NaN","539.6","NaN","NaN","124.52","1062.06","NaN","NaN","NaN","NaN","76.61","NaN","2414.63","NaN","NaN","NaN","1411.43","NaN","NaN","NaN","NaN","1069.14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5241"
"35(1,C5)","Unknown19","NaN","823.06","NaN","NaN","NaN","453.66","NaN","NaN","NaN","NaN","313.25","NaN","NaN","136.32","1206.53","NaN","NaN","NaN","NaN","75.38","NaN","4905.74","NaN","NaN","NaN","1142.1","NaN","NaN","NaN","NaN","1057.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6376"
"36(1,D5)","Unknown20","NaN","383.25","NaN","NaN","NaN","220.83","NaN","NaN","NaN","NaN","219.26","NaN","NaN","122.5","735.51","NaN","NaN","NaN","NaN","57.11","NaN","2787.03","NaN","NaN","NaN","845.63","NaN","NaN","NaN","NaN","752.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5595"
"37(1,E5)","Unknown54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","716.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","53"
"41(1,A6)","Unknown21","NaN","645.96","NaN","NaN","NaN","327.12","NaN","NaN","NaN","NaN","452.64","NaN","NaN","148.02","1282.42","NaN","NaN","NaN","NaN","66.84","NaN","2054.16","NaN","NaN","NaN","918.55","NaN","NaN","NaN","NaN","895.38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4505"
"42(1,B6)","Unknown22","NaN","710.53","NaN","NaN","NaN","549.41","NaN","NaN","NaN","NaN","407.36","NaN","NaN","136.31","1107.78","NaN","NaN","NaN","NaN","73.66","NaN","5595","NaN","NaN","NaN","1062.9","NaN","NaN","NaN","NaN","974.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4175"
"43(1,C6)","Unknown23","NaN","822.62","NaN","NaN","NaN","338.65","NaN","NaN","NaN","NaN","349.65","NaN","NaN","159.35","1407.25","NaN","NaN","NaN","NaN","66.28","NaN","1639.83","NaN","NaN","NaN","1024.79","NaN","NaN","NaN","NaN","1073.74","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5432"
"44(1,D6)","Unknown24","NaN","593.32","NaN","NaN","NaN","202.36","NaN","NaN","NaN","NaN","309.03","NaN","NaN","128.52","1013.19","NaN","NaN","NaN","NaN","80.08","NaN","957.36","NaN","NaN","NaN","1093.84","NaN","NaN","NaN","NaN","932.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4741"
"49(1,A7)","Unknown25","NaN","655.89","NaN","NaN","NaN","337.28","NaN","NaN","NaN","NaN","459.5","NaN","NaN","143.27","5168.63","NaN","NaN","NaN","NaN","81.47","NaN","1435.39","NaN","NaN","NaN","1393.27","NaN","NaN","NaN","NaN","952.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5341"
"50(1,B7)","Unknown26","NaN","946.68","NaN","NaN","NaN","320.05","NaN","NaN","NaN","NaN","337.7","NaN","NaN","151.01","1172.85","NaN","NaN","NaN","NaN","109.26","NaN","1554.49","NaN","NaN","NaN","1040.58","NaN","NaN","NaN","NaN","1005.96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5851"
"51(1,C7)","Unknown27","NaN","842.15","NaN","NaN","NaN","255.88","NaN","NaN","NaN","NaN","233.62","NaN","NaN","167.83","1325.19","NaN","NaN","NaN","NaN","92.16","NaN","2286.7","NaN","NaN","NaN","1016.85","NaN","NaN","NaN","NaN","1101.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4180"
"52(1,D7)","Unknown28","NaN","270.99","NaN","NaN","NaN","78.77","NaN","NaN","NaN","NaN","144.86","NaN","NaN","53.18","463.17","NaN","NaN","NaN","NaN","52.25","NaN","552.02","NaN","NaN","NaN","405.9","NaN","NaN","NaN","NaN","521.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4270"
"53(1,E7)","Unknown55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29"
