"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"12(1,D2)","Unknown8","NaN","1598","NaN","NaN","NaN","246","NaN","NaN","NaN","NaN","541","NaN","NaN","389","4123","NaN","NaN","NaN","NaN","132","NaN","5931","NaN","NaN","NaN","2211","NaN","NaN","NaN","NaN","3206","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4822"
"13(1,E2)","Unknown50","NaN","35","NaN","NaN","NaN","22","NaN","NaN","NaN","NaN","38","NaN","NaN","49","30.5","NaN","NaN","NaN","NaN","61","NaN","34","NaN","NaN","NaN","32","NaN","NaN","NaN","NaN","79.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3770"
"17(1,A3)","Unknown9","NaN","2033","NaN","NaN","NaN","295","NaN","NaN","NaN","NaN","999.5","NaN","NaN","238","3686","NaN","NaN","NaN","NaN","145","NaN","3615.5","NaN","NaN","NaN","3063","NaN","NaN","NaN","NaN","3567","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5081"
"18(1,B3)","Unknown10","NaN","2505","NaN","NaN","NaN","333","NaN","NaN","NaN","NaN","930","NaN","NaN","269","4489.5","NaN","NaN","NaN","NaN","157","NaN","4525","NaN","NaN","NaN","3476","NaN","NaN","NaN","NaN","4219.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6204"
"19(1,C3)","Unknown11","NaN","2123","NaN","NaN","NaN","307","NaN","NaN","NaN","NaN","973","NaN","NaN","260","4274.5","NaN","NaN","NaN","NaN","152","NaN","4144.5","NaN","NaN","NaN","2741.5","NaN","NaN","NaN","NaN","3650","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4516"
"20(1,D3)","Unknown12","NaN","1616","NaN","NaN","NaN","260.5","NaN","NaN","NaN","NaN","838","NaN","NaN","427","3355.5","NaN","NaN","NaN","NaN","152","NaN","6196.5","NaN","NaN","NaN","2449","NaN","NaN","NaN","NaN","3245.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4883"
"21(1,E3)","Unknown52","NaN","NaN","NaN","NaN","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44.5","2229","NaN","NaN","NaN","NaN","31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93"
"22(1,F3)","Unknown53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","16"
"25(1,A4)","Unknown13","NaN","2207","NaN","NaN","NaN","296","NaN","NaN","NaN","NaN","1024","NaN","NaN","392.5","3985","NaN","NaN","NaN","NaN","152.5","NaN","5597","NaN","NaN","NaN","3193","NaN","NaN","NaN","NaN","3669","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4890"
"26(1,B4)","Unknown14","NaN","2165.5","NaN","NaN","NaN","286","NaN","NaN","NaN","NaN","842","NaN","NaN","389","4184.5","NaN","NaN","NaN","NaN","159","NaN","5831.5","NaN","NaN","NaN","3242","NaN","NaN","NaN","NaN","3513","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3816"
"27(1,C4)","Unknown15","NaN","2151.5","NaN","NaN","NaN","345","NaN","NaN","NaN","NaN","993","NaN","NaN","219","4127","NaN","NaN","NaN","NaN","145","NaN","5231","NaN","NaN","NaN","3158","NaN","NaN","NaN","NaN","3430","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5849"
"28(1,D4)","Unknown16","NaN","1075","NaN","NaN","NaN","218","NaN","NaN","NaN","NaN","401","NaN","NaN","389","2659","NaN","NaN","NaN","NaN","133.5","NaN","6031","NaN","NaN","NaN","1898","NaN","NaN","NaN","NaN","2876.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4319"
"33(1,A5)","Unknown17","NaN","2098","NaN","NaN","NaN","326.5","NaN","NaN","NaN","NaN","1019.5","NaN","NaN","403.5","3786","NaN","NaN","NaN","NaN","182","NaN","8895","NaN","NaN","NaN","2937.5","NaN","NaN","NaN","NaN","3546","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5706"
"34(1,B5)","Unknown18","NaN","2246","NaN","NaN","NaN","339","NaN","NaN","NaN","NaN","1011","NaN","NaN","382","4229","NaN","NaN","NaN","NaN","172","NaN","8686","NaN","NaN","NaN","2920.5","NaN","NaN","NaN","NaN","3766","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5241"
"35(1,C5)","Unknown19","NaN","2244","NaN","NaN","NaN","391","NaN","NaN","NaN","NaN","1131","NaN","NaN","333","4527.5","NaN","NaN","NaN","NaN","188","NaN","10172.5","NaN","NaN","NaN","2794.5","NaN","NaN","NaN","NaN","3577.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6376"
"36(1,D5)","Unknown20","NaN","1163","NaN","NaN","NaN","241","NaN","NaN","NaN","NaN","722","NaN","NaN","380","2740","NaN","NaN","NaN","NaN","139","NaN","6140","NaN","NaN","NaN","2042","NaN","NaN","NaN","NaN","2932","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5595"
"37(1,E5)","Unknown54","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2053","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","53"
"41(1,A6)","Unknown21","NaN","1942","NaN","NaN","NaN","285","NaN","NaN","NaN","NaN","990","NaN","NaN","455.5","3629","NaN","NaN","NaN","NaN","158","NaN","5740","NaN","NaN","NaN","2658","NaN","NaN","NaN","NaN","3445","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4505"
"42(1,B6)","Unknown22","NaN","2101","NaN","NaN","NaN","289","NaN","NaN","NaN","NaN","928.5","NaN","NaN","451","3816","NaN","NaN","NaN","NaN","153","NaN","6263","NaN","NaN","NaN","2957","NaN","NaN","NaN","NaN","3677","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4175"
"43(1,C6)","Unknown23","NaN","2328","NaN","NaN","NaN","327","NaN","NaN","NaN","NaN","1114","NaN","NaN","494","4562","NaN","NaN","NaN","NaN","164","NaN","6963","NaN","NaN","NaN","2857","NaN","NaN","NaN","NaN","3942.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5432"
"44(1,D6)","Unknown24","NaN","1725.5","NaN","NaN","NaN","186.5","NaN","NaN","NaN","NaN","840","NaN","NaN","234","3336.5","NaN","NaN","NaN","NaN","129","NaN","3122.5","NaN","NaN","NaN","2200","NaN","NaN","NaN","NaN","3121","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4741"
"49(1,A7)","Unknown25","NaN","2022","NaN","NaN","NaN","327","NaN","NaN","NaN","NaN","959","NaN","NaN","454","3956.5","NaN","NaN","NaN","NaN","165","NaN","6032","NaN","NaN","NaN","2948","NaN","NaN","NaN","NaN","3420","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5341"
"50(1,B7)","Unknown26","NaN","1959","NaN","NaN","NaN","291","NaN","NaN","NaN","NaN","808","NaN","NaN","429","3749","NaN","NaN","NaN","NaN","153","NaN","6061.5","NaN","NaN","NaN","2832.5","NaN","NaN","NaN","NaN","3495.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5851"
"51(1,C7)","Unknown27","NaN","2048","NaN","NaN","NaN","260","NaN","NaN","NaN","NaN","615","NaN","NaN","435","2892","NaN","NaN","NaN","NaN","161","NaN","5237.5","NaN","NaN","NaN","2051.5","NaN","NaN","NaN","NaN","3127","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4180"
"52(1,D7)","Unknown28","NaN","579.5","NaN","NaN","NaN","111","NaN","NaN","NaN","NaN","394","NaN","NaN","123.5","1226","NaN","NaN","NaN","NaN","84","NaN","1395.5","NaN","NaN","NaN","1009","NaN","NaN","NaN","NaN","1742","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4270"
"53(1,E7)","Unknown55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29"
