Cell	Plate	Rep	Drug	Concentration	Viability	NormalizedViability
WT	2	3	AKTi (MK2206)	0.03325	38005.5	1.0307913804581537
WT	2	3	AKTi (MK2206)	0.055	38530	1.0459912561672517
WT	2	3	AKTi (MK2206)	0.09	36637.5	0.9911470907154536
WT	2	3	AKTi (MK2206)	0.15	36002.5	0.9727449532983377
WT	2	3	AKTi (MK2206)	0.245	36581	0.9895097351814898
WT	2	3	AKTi (MK2206)	0.41	33859	0.9106268721115849
WT	2	3	AKTi (MK2206)	0.675	32013	0.8571302647541109
WT	2	3	AKTi (MK2206)	1.11	29524	0.7849996820278093
WT	2	3	AKTi (MK2206)	1.835	24815.5	0.6485485575734938
WT	2	3	AKTi (MK2206)	3.03	20342.5	0.5189221628226914
WT	2	3	AKTi (MK2206)	5	10473.5	0.2329210696423497
WT	2	3	GSK3i (SB-216763)	0.001	37120	1.0051298171780654
WT	2	3	GSK3i (SB-216763)	0.00175	35418.5	0.9558207828233838
WT	2	3	GSK3i (SB-216763)	0.00275	34693	0.9347959785775293
WT	2	3	GSK3i (SB-216763)	0.0045	35089.5	0.9462864470592403
WT	2	3	GSK3i (SB-216763)	0.0075	34044.5	0.9160026146168999
WT	2	3	GSK3i (SB-216763)	0.01225	35560	0.9599214165942844
WT	2	3	GSK3i (SB-216763)	0.02025	35239	0.9506189187818526
WT	2	3	GSK3i (SB-216763)	0.03325	34432.5	0.9272467552749172
WT	2	3	GSK3i (SB-216763)	0.055	34468	0.9282755361856379
WT	2	3	GSK3i (SB-216763)	0.09	34661.5	0.9338831166426645
WT	2	3	GSK3i (SB-216763)	0.15	34484	0.9287392120890612
WT	2	3	GSK3i (SB-216763)	0.245	34266.5	0.9224361177768995
WT	2	3	GSK3i (SB-216763)	0.41	35033.5	0.9446635813972584
WT	2	3	GSK3i (SB-216763)	0.675	35842	0.9680937043921217
WT	2	3	GSK3i (SB-216763)	1.11	36517.5	0.9876695214397782
WT	2	3	GSK3i (SB-216763)	1.835	35840	0.9680357449041939
WT	2	3	GSK3i (SB-216763)	3.03	34124	0.9183065042620349
WT	2	3	GSK3i (SB-216763)	5	29833	0.7939544229126736
WT	2	3	IGF1R (OSI-906)	0.001	37114.5	1.0049704285862635
WT	2	3	IGF1R (OSI-906)	0.00175	35515	0.9586173281159062
WT	2	3	IGF1R (OSI-906)	0.00275	34409	0.9265657312917641
WT	2	3	IGF1R (OSI-906)	0.0045	34848.5	0.9393023287639254
WT	2	3	IGF1R (OSI-906)	0.0075	34485.5	0.9287826817050072
WT	2	3	IGF1R (OSI-906)	0.01225	35066	0.9456054230760872
WT	2	3	IGF1R (OSI-906)	0.02025	35407.5	0.9555020056397803
WT	2	3	IGF1R (OSI-906)	0.03325	33679.5	0.9054250080700538
WT	2	3	IGF1R (OSI-906)	0.055	33987.5	0.914350769210954
WT	2	3	IGF1R (OSI-906)	0.09	33800	0.9089170672177111
WT	2	3	IGF1R (OSI-906)	0.15	31922	0.8544931080533904
WT	2	3	IGF1R (OSI-906)	0.245	32267.5	0.8645056095929393
WT	2	3	IGF1R (OSI-906)	0.41	30457	0.8120377831461859
WT	2	3	IGF1R (OSI-906)	0.675	28571.5	0.7573964759021354
WT	2	3	IGF1R (OSI-906)	1.11	27106	0.714926661122949
WT	2	3	IGF1R (OSI-906)	1.835	25702	0.6742391005975462
WT	2	3	IGF1R (OSI-906)	3.03	24781	0.6475487564067371
WT	2	3	IGF1R (OSI-906)	5	22819.5	0.5907049886214255
WT	2	3	mTORi (AZD8055)	0.001	36967.5	1.000710406223561
WT	2	3	mTORi (AZD8055)	0.00175	36023	0.9733390380495989
WT	2	3	mTORi (AZD8055)	0.00275	34427	0.9270873666831154
WT	2	3	mTORi (AZD8055)	0.0045	32647.5	0.8755179122992449
WT	2	3	mTORi (AZD8055)	0.0075	32303.5	0.8655488803756419
WT	2	3	mTORi (AZD8055)	0.01225	30203	0.8046769281793396
WT	2	3	mTORi (AZD8055)	0.02025	26983	0.7113621526153817
WT	2	3	mTORi (AZD8055)	0.03325	21108	0.5411061568271045
WT	2	3	mTORi (AZD8055)	0.055	16066.5	0.3950047776327896
WT	2	3	mTORi (AZD8055)	0.09	11535	0.2636830678600955
WT	2	3	mTORi (AZD8055)	0.15	8737	0.18259774424892958
WT	2	3	mTORi (AZD8055)	0.245	6260.5	0.11082940832217748
WT	2	3	mTORi (AZD8055)	0.41	5501.5	0.08883378265353026
WT	2	3	mTORi (AZD8055)	0.675	5363.5	0.0848345779865035
WT	2	3	mTORi (AZD8055)	1.11	4974	0.07354696771254027
WT	2	3	mTORi (AZD8055)	1.835	4866	0.07041715536443235
WT	2	3	mTORi (AZD8055)	3.03	4684	0.06514284196299126
WT	2	3	mTORi (AZD8055)	5	4543	0.06105669806407261
PI3K	1	1	EGFRi (Gefitinib)	0.001	35851.5	0.9579449367543611
PI3K	1	1	EGFRi (Gefitinib)	0.00175	37462	1.0040008372644649
PI3K	1	1	EGFRi (Gefitinib)	0.00275	37686.5	1.0104209239856807
PI3K	1	1	EGFRi (Gefitinib)	0.0045	36788	0.984726278466694
PI3K	1	1	EGFRi (Gefitinib)	0.0075	37839.5	1.0147963060273113
PI3K	1	1	EGFRi (Gefitinib)	0.01225	35642.5	0.9519681076909574
PI3K	1	1	EGFRi (Gefitinib)	0.02025	37718.5	1.0113360365695512
PI3K	1	1	EGFRi (Gefitinib)	0.03325	37954.5	1.0180849918755956
PI3K	1	1	EGFRi (Gefitinib)	0.055	36646	0.980665466375769
PI3K	1	1	EGFRi (Gefitinib)	0.09	37670.5	1.0099633676937456
PI3K	1	1	EGFRi (Gefitinib)	0.15	33095.5	0.8791308654685206
PI3K	1	1	EGFRi (Gefitinib)	0.245	28372.5	0.7440659675428949
PI3K	1	1	EGFRi (Gefitinib)	0.41	17543.5	0.4343861497074936
PI3K	1	1	EGFRi (Gefitinib)	0.675	11233	0.2539230884414211
PI3K	1	1	EGFRi (Gefitinib)	1.11	8424.5	0.17360766057266822
PI3K	1	1	EGFRi (Gefitinib)	1.835	7698.5	0.15284604382610795
PI3K	1	1	EGFRi (Gefitinib)	3.03	7750.5	0.1543331017748974
PI3K	1	1	EGFRi (Gefitinib)	5	7533	0.1481131959314031
PI3K	1	1	MEKi (Trametinib)	0.001	30562	0.8066796863674042
PI3K	1	1	MEKi (Trametinib)	0.00175	26700.5	0.6962513350356652
PI3K	1	1	MEKi (Trametinib)	0.00275	21287	0.5414400233862104
PI3K	1	1	MEKi (Trametinib)	0.0045	15043	0.36287868045849364
PI3K	1	1	MEKi (Trametinib)	0.0075	10281	0.2266984890712759
PI3K	1	1	MEKi (Trametinib)	0.01225	8146	0.16564332136617094
PI3K	1	1	MEKi (Trametinib)	0.02025	7046	0.13418632629562505
PI3K	1	1	MEKi (Trametinib)	0.03325	5405.5	0.08727250773814275
PI3K	1	1	MEKi (Trametinib)	0.055	5808.5	0.09879720684126093
PI3K	1	1	MEKi (Trametinib)	0.09	5468	0.08905983700351469
PI3K	1	1	MEKi (Trametinib)	0.15	5216.5	0.08186762403965805
PI3K	1	1	MEKi (Trametinib)	0.245	5204	0.08151015818658368
PI3K	1	1	MEKi (Trametinib)	0.41	5617.5	0.09333512860628433
PI3K	1	1	MEKi (Trametinib)	0.675	5552.5	0.09147630617029753
PI3K	1	1	MEKi (Trametinib)	1.11	5870	0.10055593883838691
PI3K	1	1	MEKi (Trametinib)	1.835	5894	0.10124227327628973
PI3K	1	1	MEKi (Trametinib)	3.03	6382.5	0.1152120388144367
PI3K	1	1	MEKi (Trametinib)	5	6888.5	0.12968225654688778
PI3K	1	1	PI3Ki (BKM120)	0.001	34923	0.9313923731879956
PI3K	1	1	PI3Ki (BKM120)	0.00175	35978.5	0.9615767898215968
PI3K	1	1	PI3Ki (BKM120)	0.00275	33198	0.8820620854637305
PI3K	1	1	PI3Ki (BKM120)	0.0045	34327	0.914348401313409
PI3K	1	1	PI3Ki (BKM120)	0.0075	34811.5	0.9282037777785721
PI3K	1	1	PI3Ki (BKM120)	0.01225	35831.5	0.9573729913894421
PI3K	1	1	PI3Ki (BKM120)	0.02025	34618.5	0.9226845050071036
PI3K	1	1	PI3Ki (BKM120)	0.03325	33397	0.8877529418446747
PI3K	1	1	PI3Ki (BKM120)	0.055	32956	0.8751415465482104
PI3K	1	1	PI3Ki (BKM120)	0.09	34319	0.9141196231674413
PI3K	1	1	PI3Ki (BKM120)	0.15	32553.5	0.8636311460792152
PI3K	1	1	PI3Ki (BKM120)	0.245	31306	0.8279560539423916
PI3K	1	1	PI3Ki (BKM120)	0.41	28156	0.7378746589676466
PI3K	1	1	PI3Ki (BKM120)	0.675	25823.5	0.6711715307839663
PI3K	1	1	PI3Ki (BKM120)	1.11	17252.5	0.4260643446479219
PI3K	1	1	PI3Ki (BKM120)	1.835	5759	0.09738164206308637
PI3K	1	1	PI3Ki (BKM120)	3.03	3134.5	0.02232811155158848
PI3K	1	1	PI3Ki (BKM120)	5	2865	0.014621147759304738
PI3K	1	1	RAFi (LY3009120)	0.001	35224	0.940000150930027
PI3K	1	1	RAFi (LY3009120)	0.00175	36450.5	0.9750747004336856
PI3K	1	1	RAFi (LY3009120)	0.00275	36785	0.9846404866619561
PI3K	1	1	RAFi (LY3009120)	0.0045	34812.5	0.9282323750468181
PI3K	1	1	RAFi (LY3009120)	0.0075	32996	0.8762854372780484
PI3K	1	1	RAFi (LY3009120)	0.01225	37069.5	0.9927764094779291
PI3K	1	1	RAFi (LY3009120)	0.02025	34481	0.9187523806232853
PI3K	1	1	RAFi (LY3009120)	0.03325	33227.5	0.882905704876986
PI3K	1	1	RAFi (LY3009120)	0.055	31911	0.8452574012311919
PI3K	1	1	RAFi (LY3009120)	0.09	25714.5	0.6680544285451576
PI3K	1	1	RAFi (LY3009120)	0.15	17876.5	0.44390904003339526
PI3K	1	1	RAFi (LY3009120)	0.245	12715.5	0.2963185386160431
PI3K	1	1	RAFi (LY3009120)	0.41	9578.5	0.20660890812849547
PI3K	1	1	RAFi (LY3009120)	0.675	7090.5	0.13545890473256986
PI3K	1	1	RAFi (LY3009120)	1.11	5795	0.0984111437199406
PI3K	1	1	RAFi (LY3009120)	1.835	5858.5	0.10022707025355848
PI3K	1	1	RAFi (LY3009120)	3.03	5994	0.10410200010088481
PI3K	1	1	RAFi (LY3009120)	5	6915.5	0.13045438278952845
PI3K	1	2	EGFRi (Gefitinib)	0.001	38524	1.0343711361416645
PI3K	1	2	EGFRi (Gefitinib)	0.00175	39674.5	1.067272293258631
PI3K	1	2	EGFRi (Gefitinib)	0.00275	38177.5	1.0244621826944427
PI3K	1	2	EGFRi (Gefitinib)	0.0045	35514	0.9482933587213527
PI3K	1	2	EGFRi (Gefitinib)	0.0075	36753.5	0.9837396727122087
PI3K	1	2	EGFRi (Gefitinib)	0.01225	36063	0.9639932589883796
PI3K	1	2	EGFRi (Gefitinib)	0.02025	37219.5	0.9970659997148218
PI3K	1	2	EGFRi (Gefitinib)	0.03325	37268	0.9984529672247504
PI3K	1	2	EGFRi (Gefitinib)	0.055	37937.5	1.0175988383154144
PI3K	1	2	EGFRi (Gefitinib)	0.09	35474.5	0.9471637666256376
PI3K	1	2	EGFRi (Gefitinib)	0.15	34785.5	0.9274602488041774
PI3K	1	2	EGFRi (Gefitinib)	0.245	29711.5	0.782357709724223
PI3K	1	2	EGFRi (Gefitinib)	0.41	20222.5	0.5109982313383958
PI3K	1	2	EGFRi (Gefitinib)	0.675	12867	0.3006510247553047
PI3K	1	2	EGFRi (Gefitinib)	1.11	8752	0.1829732659232171
PI3K	1	2	EGFRi (Gefitinib)	1.835	7827	0.15652079279571263
PI3K	1	2	EGFRi (Gefitinib)	3.03	7361	0.14319446579309955
PI3K	1	2	EGFRi (Gefitinib)	5	7929.5	0.15945201279092258
PI3K	1	2	ERKi (SCH772984)	0.001	36102.5	0.9651228510840947
PI3K	1	2	ERKi (SCH772984)	0.00175	33884.5	0.9016941101145758
PI3K	1	2	ERKi (SCH772984)	0.00275	29755.5	0.7836159895270448
PI3K	1	2	ERKi (SCH772984)	0.0045	30662.5	0.8095537118261222
PI3K	1	2	ERKi (SCH772984)	0.0075	27287	0.7130236328619153
PI3K	1	2	ERKi (SCH772984)	0.01225	24432	0.6313784320197258
PI3K	1	2	ERKi (SCH772984)	0.02025	18120.5	0.45088677348540723
PI3K	1	2	ERKi (SCH772984)	0.03325	14509	0.3476077392151559
PI3K	1	2	ERKi (SCH772984)	0.055	11567.5	0.2634888746696916
PI3K	1	2	ERKi (SCH772984)	0.09	8781.5	0.18381688533647267
PI3K	1	2	ERKi (SCH772984)	0.15	6832.5	0.12808080952511455
PI3K	1	2	ERKi (SCH772984)	0.245	6125	0.10784824224110437
PI3K	1	2	ERKi (SCH772984)	0.41	5651.5	0.09430743572664665
PI3K	1	2	ERKi (SCH772984)	0.675	5694	0.09552281962709956
PI3K	1	2	ERKi (SCH772984)	1.11	6367	0.11476878115662446
PI3K	1	2	ERKi (SCH772984)	1.835	5911.5	0.10174272547059386
PI3K	1	2	ERKi (SCH772984)	3.03	5416.5	0.08758707768884821
PI3K	1	2	ERKi (SCH772984)	5	6056	0.10587503073213377
PI3K	1	2	MEKi (Trametinib)	0.001	30103.5	0.7935678388766357
PI3K	1	2	MEKi (Trametinib)	0.00175	29419	0.7739930087622824
PI3K	1	2	MEKi (Trametinib)	0.00275	19700.5	0.4960704573140095
PI3K	1	2	MEKi (Trametinib)	0.0045	16352	0.4003125045924432
PI3K	1	2	MEKi (Trametinib)	0.0075	10002.5	0.2187341498647786
PI3K	1	2	MEKi (Trametinib)	0.01225	7762.5	0.1546762689938488
PI3K	1	2	MEKi (Trametinib)	0.02025	6686.5	0.12390560836120573
PI3K	1	2	MEKi (Trametinib)	0.03325	5374.5	0.08638599242251828
PI3K	1	2	MEKi (Trametinib)	0.055	5662	0.09460770704322914
PI3K	1	2	MEKi (Trametinib)	0.09	5405.5	0.08727250773814275
PI3K	1	2	MEKi (Trametinib)	0.15	5095.5	0.07840735458189801
PI3K	1	2	MEKi (Trametinib)	0.245	5264.5	0.0832402929154637
PI3K	1	2	MEKi (Trametinib)	0.41	5006.5	0.0758621977080084
PI3K	1	2	MEKi (Trametinib)	0.675	5371.5	0.08630020061778043
PI3K	1	2	MEKi (Trametinib)	1.11	5600.5	0.09284897504610316
PI3K	1	2	MEKi (Trametinib)	1.835	6210	0.11027901004201018
PI3K	1	2	MEKi (Trametinib)	3.03	6424.5	0.11641312408076664
PI3K	1	2	MEKi (Trametinib)	5	7542	0.14837057134561665
PI3K	1	2	PI3Ki (BKM120)	0.001	38497	1.033599009899024
PI3K	1	2	PI3Ki (BKM120)	0.00175	37786.5	1.0132806508102759
PI3K	1	2	PI3Ki (BKM120)	0.00275	38595	1.036401542187127
PI3K	1	2	PI3Ki (BKM120)	0.0045	35591.5	0.9505096470104138
PI3K	1	2	PI3Ki (BKM120)	0.0075	36628	0.9801507155473419
PI3K	1	2	PI3Ki (BKM120)	0.01225	36614	0.9797503537918986
PI3K	1	2	PI3Ki (BKM120)	0.02025	36428	0.9744312618981518
PI3K	1	2	PI3Ki (BKM120)	0.03325	37205.5	0.9966656379593785
PI3K	1	2	PI3Ki (BKM120)	0.055	37781	1.0131233658349232
PI3K	1	2	PI3Ki (BKM120)	0.09	36200.5	0.9679253833721979
PI3K	1	2	PI3Ki (BKM120)	0.15	33963	0.90393899567188285
PI3K	1	2	PI3Ki (BKM120)	0.245	35794.5	0.9563148924643419
PI3K	1	2	PI3Ki (BKM120)	0.41	34131	0.9087433367372026
PI3K	1	2	PI3Ki (BKM120)	0.675	33073.5	0.8785017255671096
PI3K	1	2	PI3Ki (BKM120)	1.11	26733.5	0.6971950448877815
PI3K	1	2	PI3Ki (BKM120)	1.835	9220	0.1963567874623221
PI3K	1	2	PI3Ki (BKM120)	3.03	3728.5	0.03931488888968326
PI3K	1	2	PI3Ki (BKM120)	5	3313.5	0.027447022567613676
PI3K	1	2	RAFi (LY3009120)	0.001	37985	1.018957208557097
PI3K	1	2	RAFi (LY3009120)	0.00175	34481	0.9187523806232853
PI3K	1	2	RAFi (LY3009120)	0.00275	32733	0.8687643557293634
PI3K	1	2	RAFi (LY3009120)	0.0045	34797	0.9277891173890058
PI3K	1	2	RAFi (LY3009120)	0.0075	35636.5	0.9517965240814816
PI3K	1	2	RAFi (LY3009120)	0.01225	34871	0.9299053152392062
PI3K	1	2	RAFi (LY3009120)	0.02025	32780.5	0.870122725971046
PI3K	1	2	RAFi (LY3009120)	0.03325	32031.5	0.8487033720548289
PI3K	1	2	RAFi (LY3009120)	0.055	29875	0.787033363082436
PI3K	1	2	RAFi (LY3009120)	0.09	26123	0.6797364126236286
PI3K	1	2	RAFi (LY3009120)	0.15	19237	0.4828156234820113
PI3K	1	2	RAFi (LY3009120)	0.245	13533	0.31969680540710793
PI3K	1	2	RAFi (LY3009120)	0.41	9453.5	0.2030342495977516
PI3K	1	2	RAFi (LY3009120)	0.675	6954.5	0.13156967625112054
PI3K	1	2	RAFi (LY3009120)	1.11	6963	0.13181275303121112
PI3K	1	2	RAFi (LY3009120)	1.835	6513.5	0.11895828095465624
PI3K	1	2	RAFi (LY3009120)	3.03	6672	0.12349094797163944
PI3K	1	2	RAFi (LY3009120)	5	6323	0.11351050135380263
PI3K	1	3	EGFRi (Gefitinib)	0.001	39330	1.057420534347901
PI3K	1	3	EGFRi (Gefitinib)	0.00175	38892	1.0448949308561746
PI3K	1	3	EGFRi (Gefitinib)	0.00275	37075	0.9929336944532818
PI3K	1	3	EGFRi (Gefitinib)	0.0045	38497	1.033599009899024
PI3K	1	3	EGFRi (Gefitinib)	0.0075	36244	0.9691693645408967
PI3K	1	3	EGFRi (Gefitinib)	0.01225	39148.5	1.0522301301612609
PI3K	1	3	EGFRi (Gefitinib)	0.02025	36384.5	0.9731872807294528
PI3K	1	3	EGFRi (Gefitinib)	0.03325	37557.5	1.006731876381953
PI3K	1	3	EGFRi (Gefitinib)	0.055	37503.5	1.0051876238966717
PI3K	1	3	EGFRi (Gefitinib)	0.09	36202	0.9679682792745669
PI3K	1	3	EGFRi (Gefitinib)	0.15	34521.5	0.9199105699872464
PI3K	1	3	EGFRi (Gefitinib)	0.245	28664	0.7524020712365895
PI3K	1	3	EGFRi (Gefitinib)	0.41	17804.5	0.4418500367196868
PI3K	1	3	EGFRi (Gefitinib)	0.675	10642.5	0.2370364015421871
PI3K	1	3	EGFRi (Gefitinib)	1.11	7710	0.15317491241093636
PI3K	1	3	EGFRi (Gefitinib)	1.835	7289	0.1411354624793911
PI3K	1	3	EGFRi (Gefitinib)	3.03	6833.5	0.1281094067933605
PI3K	1	3	EGFRi (Gefitinib)	5	8200	0.16718757385145228
PI3K	1	3	ERKi (SCH772984)	0.001	35190.5	0.9390421424437876
PI3K	1	3	ERKi (SCH772984)	0.00175	32597	0.864875127247914
PI3K	1	3	ERKi (SCH772984)	0.00275	30179	0.795726932629205
PI3K	1	3	ERKi (SCH772984)	0.0045	31922.5	0.8455862698160203
PI3K	1	3	ERKi (SCH772984)	0.0075	29400	0.7734496606656094
PI3K	1	3	ERKi (SCH772984)	0.01225	24773.5	0.641144399125718
PI3K	1	3	ERKi (SCH772984)	0.02025	20423	0.516731983621709
PI3K	1	3	ERKi (SCH772984)	0.03325	18292	0.4557912049895878
PI3K	1	3	ERKi (SCH772984)	0.055	15577.5	0.37816392033595436
PI3K	1	3	ERKi (SCH772984)	0.09	12126	0.2794604489850551
PI3K	1	3	ERKi (SCH772984)	0.15	10275	0.22652690546180018
PI3K	1	3	ERKi (SCH772984)	0.245	8220.5	0.16777381785049428
PI3K	1	3	ERKi (SCH772984)	0.41	7193	0.1383901247277798
PI3K	1	3	ERKi (SCH772984)	0.675	6491.5	0.11832914105324532
PI3K	1	3	ERKi (SCH772984)	1.11	7078	0.13510143887949547
PI3K	1	3	ERKi (SCH772984)	1.835	6494.5	0.11841493285798317
PI3K	1	3	ERKi (SCH772984)	3.03	6558	0.12023085939160105
PI3K	1	3	ERKi (SCH772984)	5	6469.5	0.1177000011518344
PI3K	1	3	MEKi (Trametinib)	0.001	27340	0.7145392880789507
PI3K	1	3	MEKi (Trametinib)	0.00175	24434	0.6314356265562177
PI3K	1	3	MEKi (Trametinib)	0.00275	18934	0.4741506512034882
PI3K	1	3	MEKi (Trametinib)	0.0045	15354.5	0.3717867295171073
PI3K	1	3	MEKi (Trametinib)	0.0075	11693.5	0.2670921304686814
PI3K	1	3	MEKi (Trametinib)	0.01225	8310	0.17033327335850687
PI3K	1	3	MEKi (Trametinib)	0.02025	7643	0.15125889543845766
PI3K	1	3	MEKi (Trametinib)	0.03325	6314.5	0.11326742457371204
PI3K	1	3	MEKi (Trametinib)	0.055	5701.5	0.0957372991389442
PI3K	1	3	MEKi (Trametinib)	0.09	5597.5	0.09276318324136532
PI3K	1	3	MEKi (Trametinib)	0.15	6105	0.10727629687618535
PI3K	1	3	MEKi (Trametinib)	0.245	5625	0.09354960811812896
PI3K	1	3	MEKi (Trametinib)	0.41	6307	0.11305294506186742
PI3K	1	3	MEKi (Trametinib)	0.675	6259.5	0.11169457482018474
PI3K	1	3	MEKi (Trametinib)	1.11	6016.5	0.1047454386364187
PI3K	1	3	MEKi (Trametinib)	1.835	6977.5	0.1322274134207774
PI3K	1	3	MEKi (Trametinib)	3.03	6392	0.11548371286277323
PI3K	1	3	MEKi (Trametinib)	5	6824	0.12783773274502397
PI3K	1	3	PI3Ki (BKM120)	0.001	35185.5	0.9388991561025578
PI3K	1	3	PI3Ki (BKM120)	0.00175	34786	0.9274745474383004
PI3K	1	3	PI3Ki (BKM120)	0.00275	35654	0.9522969762757858
PI3K	1	3	PI3Ki (BKM120)	0.0045	35218	0.9398285673205512
PI3K	1	3	PI3Ki (BKM120)	0.0075	38188.5	1.0247767526451481
PI3K	1	3	PI3Ki (BKM120)	0.01225	34271	0.9127469542916358
PI3K	1	3	PI3Ki (BKM120)	0.02025	33532.5	0.8916278716920011
PI3K	1	3	PI3Ki (BKM120)	0.03325	35117	0.9369402432277101
PI3K	1	3	PI3Ki (BKM120)	0.055	33990	0.9047111219145235
PI3K	1	3	PI3Ki (BKM120)	0.09	36740	0.9833536095908884
PI3K	1	3	PI3Ki (BKM120)	0.15	33464.5	0.8896832574512764
PI3K	1	3	PI3Ki (BKM120)	0.245	32788	0.8703372054828907
PI3K	1	3	PI3Ki (BKM120)	0.41	32032.5	0.8487319693230748
PI3K	1	3	PI3Ki (BKM120)	0.675	28380	0.7442804470547395
PI3K	1	3	PI3Ki (BKM120)	1.11	20660	0.5235095361959993
PI3K	1	3	PI3Ki (BKM120)	1.835	5972.5	0.10348715883359687
PI3K	1	3	PI3Ki (BKM120)	3.03	3318.5	0.02759000890884343
PI3K	1	3	PI3Ki (BKM120)	5	3073.5	0.02058367818858548
PI3K	1	3	RAFi (LY3009120)	0.001	35841.5	0.9576589640719015
PI3K	1	3	RAFi (LY3009120)	0.00175	35427	0.945805396383955
PI3K	1	3	RAFi (LY3009120)	0.00275	33390.5	0.8875670596010761
PI3K	1	3	RAFi (LY3009120)	0.0045	34379	0.9158354592621984
PI3K	1	3	RAFi (LY3009120)	0.0075	34749.5	0.9264307471473232
PI3K	1	3	RAFi (LY3009120)	0.01225	33025	0.877114758057181
PI3K	1	3	RAFi (LY3009120)	0.02025	32901	0.8735686967946831
PI3K	1	3	RAFi (LY3009120)	0.03325	33516.5	0.8911703154000659
PI3K	1	3	RAFi (LY3009120)	0.055	30957.5	0.8179899059586777
PI3K	1	3	RAFi (LY3009120)	0.09	26124	0.6797650098918745
PI3K	1	3	RAFi (LY3009120)	0.15	19599	0.4931678345870455
PI3K	1	3	RAFi (LY3009120)	0.245	13740.5	0.32563073856814273
PI3K	1	3	RAFi (LY3009120)	0.41	10387.5	0.22974409813946967
PI3K	1	3	RAFi (LY3009120)	0.675	7340	0.14259392315993458
PI3K	1	3	RAFi (LY3009120)	1.11	6547	0.1199162894408956
PI3K	1	3	RAFi (LY3009120)	1.835	6190	0.10970706467709117
PI3K	1	3	RAFi (LY3009120)	3.03	6008.5	0.1045166604904511
PI3K	1	3	RAFi (LY3009120)	5	6880.5	0.1294534784009202
PI3K	2	1	AKTi (MK2206)	0.001	35449.5	0.9464488349194888
PI3K	2	1	AKTi (MK2206)	0.00175	39342.5	1.0577780002009753
PI3K	2	1	AKTi (MK2206)	0.00275	39753	1.069517178815938
PI3K	2	1	AKTi (MK2206)	0.0045	34258.5	0.9123894884385614
PI3K	2	1	AKTi (MK2206)	0.0075	35876	0.9586455698263868
PI3K	2	1	AKTi (MK2206)	0.01225	36129.5	0.9658949773267353
PI3K	2	1	AKTi (MK2206)	0.02025	37194	0.9963367693745501
PI3K	2	1	AKTi (MK2206)	0.03325	35095	0.9363111033262992
PI3K	2	1	AKTi (MK2206)	0.055	34286	0.913175913315325
PI3K	2	1	AKTi (MK2206)	0.09	31336.5	0.8288282706238931
PI3K	2	1	AKTi (MK2206)	0.15	31756.5	0.8408391232871925
PI3K	2	1	AKTi (MK2206)	0.245	29928	0.7885490182994713
PI3K	2	1	AKTi (MK2206)	0.41	27656.5	0.7235903234787942
PI3K	2	1	AKTi (MK2206)	0.675	26579.5	0.6927910655779052
PI3K	2	1	AKTi (MK2206)	1.11	22236	0.5685788309516178
PI3K	2	1	AKTi (MK2206)	1.835	18671.5	0.4666438682889261
PI3K	2	1	AKTi (MK2206)	3.03	15509.5	0.3762193060952297
PI3K	2	1	AKTi (MK2206)	5	9567	0.20628003954366703
PI3K	2	1	GSK3i (SB-216763)	0.001	35589.5	0.950452452473922
PI3K	2	1	GSK3i (SB-216763)	0.00175	37561.5	1.006846265454937
PI3K	2	1	GSK3i (SB-216763)	0.00275	34003	0.9050828864017209
PI3K	2	1	GSK3i (SB-216763)	0.0045	36757	0.9838397631510696
PI3K	2	1	GSK3i (SB-216763)	0.0075	35976.5	0.9615195952851049
PI3K	2	1	GSK3i (SB-216763)	0.01225	35258.5	0.9409867566845123
PI3K	2	1	GSK3i (SB-216763)	0.02025	32626.5	0.8657187466611697
PI3K	2	1	GSK3i (SB-216763)	0.03325	33791	0.8990202655335794
PI3K	2	1	GSK3i (SB-216763)	0.055	34922	0.9313637759197497
PI3K	2	1	GSK3i (SB-216763)	0.09	33920.5	0.90272361177143
PI3K	2	1	GSK3i (SB-216763)	0.15	35104	0.9365684787405127
PI3K	2	1	GSK3i (SB-216763)	0.245	32315	0.8568106976025559
PI3K	2	1	GSK3i (SB-216763)	0.41	36484.5	0.9760470075540479
PI3K	2	1	GSK3i (SB-216763)	0.675	34692.5	0.924800702857304
PI3K	2	1	GSK3i (SB-216763)	1.11	37520.5	1.005673777456853
PI3K	2	1	GSK3i (SB-216763)	1.835	37556	1.0066889804795842
PI3K	2	1	GSK3i (SB-216763)	3.03	37079.5	0.9930623821603887
PI3K	2	1	GSK3i (SB-216763)	5	32967	0.8754561164989159
PI3K	2	1	IGF1R (OSI-906)	0.001	37023.5	0.9914609351386154
PI3K	2	1	IGF1R (OSI-906)	0.00175	37256.5	0.9981240986399219
PI3K	2	1	IGF1R (OSI-906)	0.00275	37300	0.9993680798086209
PI3K	2	1	IGF1R (OSI-906)	0.0045	35694.5	0.9534551656397467
PI3K	2	1	IGF1R (OSI-906)	0.0075	35876.5	0.9586598684605099
PI3K	2	1	IGF1R (OSI-906)	0.01225	34315	0.9140052340944576
PI3K	2	1	IGF1R (OSI-906)	0.02025	35928	0.9601326277751763
PI3K	2	1	IGF1R (OSI-906)	0.03325	36695.5	0.9820810311539435
PI3K	2	1	IGF1R (OSI-906)	0.055	35329	0.9430028640958518
PI3K	2	1	IGF1R (OSI-906)	0.09	36742.5	0.9834251027615032
